author,authorlink,author_id
J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,1
Douglas Adams,https://www.goodreads.com/author/show/4.Douglas_Adams,2
Bill Bryson,https://www.goodreads.com/author/show/7.Bill_Bryson,3
J.R.R. Tolkien,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,4
Gary Paulsen,https://www.goodreads.com/author/show/18.Gary_Paulsen,5
Delia Sherman,https://www.goodreads.com/author/show/24.Delia_Sherman,6
Zilpha Keatley Snyder,https://www.goodreads.com/author/show/27.Zilpha_Keatley_Snyder,7
Edward P. Jones,https://www.goodreads.com/author/show/33.Edward_P_Jones,8
John McPhee,https://www.goodreads.com/author/show/40.John_McPhee,9
Johanna Spyri,https://www.goodreads.com/author/show/49.Johanna_Spyri,10
Frank Herbert,https://www.goodreads.com/author/show/58.Frank_Herbert,11
Bryce Courtenay,https://www.goodreads.com/author/show/63.Bryce_Courtenay,12
George Smoot,https://www.goodreads.com/author/show/115.George_Smoot,13
Tom Wolfe,https://www.goodreads.com/author/show/3083854.Tom_Wolfe,14
Henry Miller,https://www.goodreads.com/author/show/147.Henry_Miller,15
Henry James,https://www.goodreads.com/author/show/159.Henry_James,16
Marguerite Duras,https://www.goodreads.com/author/show/163.Marguerite_Duras,17
Kahlil Gibran,https://www.goodreads.com/author/show/6466154.Kahlil_Gibran,18
Robert Louis Stevenson,https://www.goodreads.com/author/show/854076.Robert_Louis_Stevenson,19
George Eliot,https://www.goodreads.com/author/show/173.George_Eliot,20
Gabriel García Márquez,https://www.goodreads.com/author/show/13450.Gabriel_Garc_a_M_rquez,21
Patrick Süskind,https://www.goodreads.com/author/show/39402.Patrick_S_skind,22
Robert A. Heinlein,https://www.goodreads.com/author/show/205.Robert_A_Heinlein,23
Norton Juster,https://www.goodreads.com/author/show/214.Norton_Juster,24
Don DeLillo,https://www.goodreads.com/author/show/233.Don_DeLillo,25
Thomas Pynchon,https://www.goodreads.com/author/show/235.Thomas_Pynchon,26
Joan Didion,https://www.goodreads.com/author/show/238.Joan_Didion,27
Paul Auster,https://www.goodreads.com/author/show/296961.Paul_Auster,28
Jared Diamond,https://www.goodreads.com/author/show/256.Jared_Diamond,29
Robert D. Putnam,https://www.goodreads.com/author/show/260.Robert_D_Putnam,30
Nikola Tesla,https://www.goodreads.com/author/show/278.Nikola_Tesla,31
Chuck Klosterman,https://www.goodreads.com/author/show/375.Chuck_Klosterman,32
Robert M. Pirsig,https://www.goodreads.com/author/show/401.Robert_M_Pirsig,33
Naomi Klein,https://www.goodreads.com/author/show/419.Naomi_Klein,34
Leo Tolstoy,https://www.goodreads.com/author/show/128382.Leo_Tolstoy,35
Ayn Rand,https://www.goodreads.com/author/show/432.Ayn_Rand,36
Billy Collins,https://www.goodreads.com/author/show/438.Billy_Collins,37
Kevin Trudeau,https://www.goodreads.com/author/show/444.Kevin_Trudeau,38
Bernard Malamud,https://www.goodreads.com/author/show/447.Bernard_Malamud,39
Anne Tyler,https://www.goodreads.com/author/show/457.Anne_Tyler,40
Philip Roth,https://www.goodreads.com/author/show/463.Philip_Roth,41
Jon   Stewart,https://www.goodreads.com/author/show/466.Jon_Stewart,42
Jon Stewart,https://www.goodreads.com/author/show/15305951.Jon_Stewart,43
Buzz Bissinger,https://www.goodreads.com/author/show/8438323.Buzz_Bissinger,44
Neal Stephenson,https://www.goodreads.com/author/show/545.Neal_Stephenson,45
Donald A. Norman,https://www.goodreads.com/author/show/552.Donald_A_Norman,46
Paulo Coelho,https://www.goodreads.com/author/show/566.Paulo_Coelho,47
Hiromu Arakawa,https://www.goodreads.com/author/show/4698899.Hiromu_Arakawa,48
John Steinbeck,https://www.goodreads.com/author/show/585.John_Steinbeck,49
Ellen Raskin,https://www.goodreads.com/author/show/10074.Ellen_Raskin,50
Arthur Golden,https://www.goodreads.com/author/show/614.Arthur_Golden,51
Dan       Brown,https://www.goodreads.com/author/show/630.Dan_Brown,52
Thomas J. Stanley,https://www.goodreads.com/author/show/659.Thomas_J_Stanley,53
Donald J. Trump,https://www.goodreads.com/author/show/676.Donald_J_Trump,54
George S. Clason,https://www.goodreads.com/author/show/688.George_S_Clason,55
Trevanian,https://www.goodreads.com/author/show/691.Trevanian,56
David McCullough,https://www.goodreads.com/author/show/6281688.David_McCullough,57
Pearl S. Buck,https://www.goodreads.com/author/show/704.Pearl_S_Buck,58
Eric Schlosser,https://www.goodreads.com/author/show/380.Eric_Schlosser,59
Lisa See,https://www.goodreads.com/author/show/713.Lisa_See,60
John Grisham,https://www.goodreads.com/author/show/721.John_Grisham,61
Robert A. Caro,https://www.goodreads.com/author/show/722.Robert_A_Caro,62
Steven D. Levitt,https://www.goodreads.com/author/show/798.Steven_D_Levitt,63
Carlos Ruiz Zafón,https://www.goodreads.com/author/show/815.Carlos_Ruiz_Zaf_n,64
James Frey,https://www.goodreads.com/author/show/822.James_Frey,65
John  Gray,https://www.goodreads.com/author/show/848.John_Gray,66
Jean M. Auel,https://www.goodreads.com/author/show/861.Jean_M_Auel,67
Michael   Lewis,https://www.goodreads.com/author/show/776.Michael_Lewis,68
Robert Greene,https://www.goodreads.com/author/show/865.Robert_Greene,69
Steven Pressfield,https://www.goodreads.com/author/show/867.Steven_Pressfield,70
Herodotus,https://www.goodreads.com/author/show/901.Herodotus,71
Homer,https://www.goodreads.com/author/show/903.Homer,72
William Shakespeare,https://www.goodreads.com/author/show/947.William_Shakespeare,73
Reduced Shakespeare Company,https://www.goodreads.com/author/show/32182188.Reduced_Shakespeare_Company,74
Euripides,https://www.goodreads.com/author/show/973.Euripides,75
Aeschylus,https://www.goodreads.com/author/show/990.Aeschylus,76
Sophocles,https://www.goodreads.com/author/show/1002.Sophocles,77
Aristophanes,https://www.goodreads.com/author/show/1011.Aristophanes,78
Elie Wiesel,https://www.goodreads.com/author/show/1049.Elie_Wiesel,79
Mark Haddon,https://www.goodreads.com/author/show/1050.Mark_Haddon,80
Beryl Markham,https://www.goodreads.com/author/show/1054.Beryl_Markham,81
Annie Proulx,https://www.goodreads.com/author/show/1262010.Annie_Proulx,82
David    Allen,https://www.goodreads.com/author/show/1058.David_Allen,83
Ernesto Sabato,https://www.goodreads.com/author/show/33301873.Ernesto_Sabato,84
Ovid,https://www.goodreads.com/author/show/1127.Ovid,85
Jon Krakauer,https://www.goodreads.com/author/show/1235.Jon_Krakauer,86
Jung Chang,https://www.goodreads.com/author/show/1237.Jung_Chang,87
Nelson DeMille,https://www.goodreads.com/author/show/1238.Nelson_DeMille,88
Jack London,https://www.goodreads.com/author/show/1240.Jack_London,89
Barbara Ehrenreich,https://www.goodreads.com/author/show/1257.Barbara_Ehrenreich,90
Michel Foucault,https://www.goodreads.com/author/show/1260.Michel_Foucault,91
Jane Austen,https://www.goodreads.com/author/show/1265.Jane_Austen,92
Thomas L. Friedman,https://www.goodreads.com/author/show/16759765.Thomas_L_Friedman,93
