,format_id,num_pages,book_format
0,1,652,Paperback
1,2,912,Paperback
2,3,309,Hardcover
3,4,435,Mass Market Paperback
4,5,734,Paperback
5,6,2690,Paperback
6,7,3342,Hardcover
7,8,216,Mass Market Paperback
8,9,815,Paperback
9,10,544,Paperback
10,11,335,Paperback
11,12,304,Paperback
12,13,299,Paperback
13,14,254,Paperback
14,15,324,Paperback
15,16,270,Paperback
16,17,1728,Mass Market Paperback
17,18,1216,Paperback
18,19,398,Paperback
19,20,208,Hardcover
20,21,256,Hardcover
21,22,220,Paperback
22,23,388,Paperback
23,24,438,Paperback
24,25,352,Paperback
25,26,436,Mass Market Paperback
26,27,408,Mass Market Paperback
27,28,471,Mass Market Paperback
28,29,360,Paperback
29,30,738,Paperback
30,31,318,Paperback
31,32,348,Paperback
32,33,506,Paperback
33,34,292,Paperback
34,35,797,Paperback
35,36,117,Paperback
36,37,132,Paperback
37,38,352,Hardcover
38,39,796,Paperback
39,40,417,Mass Market Paperback
40,41,263,Paperback
41,42,525,Paperback
42,43,272,Paperback
43,44,589,Mass Market Paperback
44,45,440,Mass Market Paperback
45,46,307,Mass Market Paperback
46,47,298,Mass Market Paperback
47,48,306,Mass Market Paperback
48,49,248,Paperback
49,50,480,Paperback
50,51,241,Paperback
51,52,339,Paperback
52,53,1085,Hardcover
53,54,773,Paperback
54,55,776,Paperback
55,56,224,Paperback
56,57,238,Paperback
57,58,234,Paperback
58,59,231,Paperback
59,60,308,Paperback
60,61,306,Paperback
61,62,320,Paperback
62,63,181,Paperback
63,64,145,Hardcover
64,65,275,Paperback
65,66,608,Paperback
66,67,88,Paperback
67,68,245,Paperback
68,69,540,Mass Market Paperback
69,70,528,Paperback
70,71,1392,Paperback
71,72,1168,Paperback
72,73,173,Mass Market Paperback
73,74,105,Paperback
74,75,464,Paperback
75,76,172,Paperback
76,77,572,Hardcover
77,78,350,Hardcover
78,79,277,Hardcover
79,80,391,Paperback
80,81,228,Hardcover
81,82,164,Paperback
82,83,115,Mass Market Paperback
83,84,287,Paperback
84,85,1152,Mass Market Paperback
85,86,927,Paperback
86,87,308,Mass Market Paperback
87,88,499,Paperback
88,89,257,Paperback
89,90,197,Paperback
90,91,182,Paperback
91,92,180,Paperback
92,93,107,Paperback
93,94,503,Mass Market Paperback
94,95,434,Hardcover
95,96,736,Paperback
96,97,489,Paperback
97,98,556,Paperback
98,99,258,Paperback
99,100,288,Unknown Binding
100,101,384,Paperback
101,102,320,Unknown Binding
102,103,194,Paperback
103,104,472,Paperback
104,105,750,Hardcover
105,106,386,Paperback
106,107,418,Paperback
107,108,383,Paperback
108,109,269,Paperback
109,110,422,Paperback
110,111,1246,Paperback
111,112,268,Hardcover
112,113,487,Paperback
113,114,515,Paperback
114,115,368,Paperback
115,116,512,Paperback
116,117,317,Paperback
117,118,452,Paperback
118,119,526,Paperback
119,120,168,Paperback
120,121,716,Paperback
121,122,704,Library Binding
122,123,1556,Paperback
123,124,541,Paperback
124,125,289,Paperback
125,126,137,Hardcover
126,127,142,Paperback
127,128,336,Paperback
128,129,208,Paperback
129,130,273,Paperback
130,131,285,Paperback
131,132,69,Paperback
132,133,259,Paperback
133,134,75,Paperback
134,135,120,Paperback
135,136,226,Paperback
136,137,240,Mass Market Paperback
137,138,294,Paperback
138,139,272,Mass Market Paperback
139,140,55,Paperback
140,141,267,Paperback
141,142,547,Paperback
142,143,723,Paperback
143,144,498,Paperback
144,145,203,Paperback
145,146,562,Paperback
146,147,519,Hardcover
147,148,172,Mass Market Paperback
148,149,240,Paperback
149,150,176,Paperback
150,151,279,Paperback
