book_id,5_star_reviews,4_star_reviews,3_star_reviews,2_star_reviews,1_star_reviews
1,2244154,775028,219864,35870,17600
2,2178760,856178,293293,51763,21715
3,6544542,2348390,856996,194791,171528
5,2892322,970190,287733,40587,24199
6,2500070,899496,259745,38301,20597
8,120035,19721,5489,1329,1869
10,26491,4731,1183,247,338
11,936656,544512,256245,73581,38368
13,187914,88512,34756,8761,3902
21,184880,130221,51751,13030,7921
24,41665,44994,20170,3856,1779
25,19501,26720,16204,3284,1154
26,17653,22706,14783,4252,2024
27,23074,27146,17536,4892,2200
28,35320,43346,25852,6214,2282
29,12449,16769,9708,2245,682
30,96399,27073,7686,1759,1160
33,456379,151211,51345,13070,6847
34,1688264,724398,280186,75295,51443
50,123258,127730,93992,32871,17258
58,232,356,351,107,39
61,687,488,267,51,17
67,12428,15160,9441,3072,1286
79,3127,2711,1042,178,68
93,77019,66198,44513,9672,2596
105,22453,23708,16495,4619,1307
112,59931,77705,44448,9038,1750
117,25138,30146,21097,5511,1302
117,25136,30143,21097,5511,1302
122,49365,26626,9564,2425,1224
180,483,425,256,68,19
231,5411,8908,8033,3545,1857
249,19753,23783,17872,7275,3928
250,6056,7277,4635,1559,717
252,3537,3476,1850,528,182
253,925,1272,822,243,75
264,23886,27761,20086,6454,2604
275,14732,20219,15645,5177,1505
291,8732,8540,5351,1471,499
295,140473,181606,131743,29406,8739
304,8034,9232,6128,1739,697
320,480125,260614,140529,57483,37772
343,184208,167737,83675,25605,10814
348,9406,10124,5698,1125,304
350,121061,95475,61229,22461,13170
351,2403,3371,2547,378,50
353,13682,11417,7391,2296,958
355,5333,6025,4828,1567,441
357,31158,32692,18082,3576,937
359,9312,11137,7303,1514,335
365,47737,52611,31269,7076,2005
378,142197,84635,42436,12147,6355
400,6179,7277,3408,776,233
402,2409,4855,3553,957,226
408,1026,1596,1349,457,136
409,4131,2964,1474,615,386
413,5206,3474,1766,624,293
415,20335,11875,6456,3154,2473
421,13771,16354,7710,1467,298
422,1410,2096,1409,394,92
424,28837,26411,10143,1911,620
425,975,1335,944,217,44
428,20283,27614,15621,3752,905
431,22358,29657,16533,5099,1682
446,6999,12753,7008,1449,359
447,8171,10546,5199,1236,335
449,3452,5769,4387,1250,344
454,1239,3007,4139,1714,525
456,5472,8288,4089,771,156
475,22434,28696,15202,3605,1566
478,1952,2970,1953,443,111
493,3663,3760,2445,696,316
597,7798,11049,6780,1726,614
599,18782,26037,17838,5992,2574
629,73930,73439,52432,21189,10138
647,9469,12311,6925,1917,791
656,156786,100138,49733,14884,8231
658,1956,1450,764,207,78
662,141290,103314,70301,36140,39919
665,4293,3878,3190,1367,1612
667,40566,49717,40600,16094,9322
668,10709,9947,6176,1782,828
676,6647,4774,1798,452,268
681,442,381,466,283,366
682,114,74,120,52,47
685,2409,4307,3444,1110,396
698,3435,8835,7989,1897,347
703,15150,25834,14955,4063,1406
706,34121,36457,19253,4094,2036
707,2202,3197,3068,1096,390
759,3622,3099,1391,253,81
760,16978,31190,28793,8317,2500
760,16979,31190,28794,8317,2500
815,2770,2967,1827,481,252
816,55458,36122,14674,4292,1877
822,11545,8633,3165,678,172
823,15129,14414,7865,3157,1499
825,3980,8111,6332,1183,179
827,39200,32056,14187,3474,1199
830,114792,93065,47013,16099,10109
840,18187,15967,6718,1515,557
865,1213074,890172,597940,241144,136352
868,15213,5737,1751,219,102
870,113749,35352,13325,2940,2125
890,842347,896438,576045,173361,71357
902,82068,72668,42337,12065,4965
929,866975,708015,328523,73133,29920
930,867139,708082,328552,73132,29927
960,1170430,1084644,646535,195293,107894
968,841466,810293,463823,158004,86734
976,184321,228540,185776,54562,18097
998,46951,37850,22270,5970,2062
1031,721,495,506,254,166
1032,6614,6047,4993,1871,1518
1035,782,597,787,376,325
1036,94,94,114,48,46
1052,103507,58830,29384,7707,2839
1059,8330,5871,2654,733,313
1061,80,42,21,1,1
1067,95231,83694,36328,9362,6237
1078,95083,87362,47658,13919,6264
1097,53642,77723,52537,13367,8492
1103,140374,147665,67466,13381,4353
1110,26106,36260,27444,5640,1262
1111,14429,4660,1677,579,434
1202,309641,321190,162891,38306,21449
1232,337227,195002,76845,21305,9042
1241,67370,85350,65770,23347,11790
1274,50159,55100,52350,20900,11919
1295,112785,89570,47929,12649,5035
1301,64028,46868,15556,3283,2452
1303,75772,46048,23054,8218,5126
1305,22312,11241,3881,877,375
1319,43509,31208,18327,7025,3985
1362,20652,16621,10106,2803,1635
1371,159520,151235,105593,30613,11560
1375,30617,25875,14810,3576,1337
1381,347665,350041,260942,87607,40059
1420,371782,323884,192244,52125,17712
1423,5826,2374,890,183,137
1426,12020,10918,9894,4128,1974
1427,18923,24164,23147,8991,3591
1428,25250,30612,29670,11980,5105
1429,10884,13901,12877,4596,1671
1430,48053,59730,47290,16156,6481
1431,61383,75374,57606,19710,8198
1496,1993,1895,1157,254,54
1519,15985,15501,9276,2174,606
1540,24064,23837,14767,3472,1055
1554,54927,74772,64368,18612,4978
1591,13288,15152,10887,3001,996
1617,700215,373377,134397,28811,14039
1618,452347,569591,340223,89053,33138
1622,182555,195327,125169,30385,8767
1624,16897,13224,6101,1503,693
1625,61237,68293,42375,9094,2235
1627,15321,17096,9278,2196,690
1633,62456,52806,29678,8745,4667
1677,6190,4026,1675,392,146
1715,28870,25061,13800,2955,927
1842,167735,141163,70474,20539,12804
1845,408680,398430,205591,53711,28374
1848,57335,37428,13739,3152,1783
1849,9902,12086,5680,919,269
1852,139709,156676,100459,25637,9879
1869,49337,66180,47501,16781,11778
1875,8385,8849,4488,1114,377
1878,1530,1641,797,158,42
1885,2356066,1163847,515080,152595,102923
1898,241386,180488,63746,13394,9467
1911,25500,36578,26621,8886,4257
1934,1028326,716478,363062,94972,42966
1953,333312,304759,204019,71471,36771
1990,4985,5749,4041,1151,451
2011,2206,2731,2147,537,108
2012,786,1285,1229,285,61
2049,7481,10353,4480,635,230
2050,14475,16571,6942,1215,371
2052,53409,58199,31981,8706,3765
2054,18133,16595,6417,1172,402
2067,4119,4543,2663,802,421
2068,7023,5182,3005,848,413
2071,817,986,726,202,65
2081,2487,2095,986,202,71
2094,18499,14447,5435,897,375
2095,18315,15999,6845,1229,381
2115,2480,1279,580,224,319
2122,128428,96129,54767,23027,21720
2139,2240,2293,1251,256,61
2152,7498,16241,26793,14292,5085
2156,313018,235332,119666,26185,11533
2159,11138,14296,8589,2486,868
2165,370834,377632,263527,94527,49040
2175,88251,114488,90332,31196,11945
2183,6887,7544,5497,1845,630
2187,261154,215762,107208,34871,21275
2199,104110,50688,19078,6490,6656
2203,169802,106916,47798,17701,19769
2255,24727,16190,8565,2728,1291
2265,9805,15413,10896,2958,1656
2279,42760,26043,12079,3788,3154
2287,4091,5915,4550,1222,270
2336,4352,4466,2130,412,116
2338,1076,1380,922,240,65
2339,5217,3615,1550,336,133
2341,2760,2942,1334,265,71
2369,7545,6669,2232,395,102
2373,78828,67510,27080,4578,2080
2442,41185,32709,13469,1845,556
2493,152965,200925,133715,27093,6575
2510,85013,121720,85406,18876,4800
2517,17827,20842,12327,4017,1663
2526,130690,102219,41840,12147,4988
2528,6447,8798,5091,1230,313
2530,7669,8463,4832,1469,501
2531,4382,5920,3469,926,282
2535,2279,3569,2248,571,154
2536,4419,5201,2574,636,190
2544,4017,3848,2279,579,180
2547,153477,85856,43147,12248,5415
2567,611,692,482,119,47
2574,8971,10652,6793,2062,1135
2612,301289,298594,156717,37461,22292
2623,252930,268903,182879,66378,34851
2654,3186131,1836084,809656,213329,113472
2657,3186120,1836079,809655,213326,113472
2666,25513,30846,17880,5018,1912
2677,5394,5261,3028,572,157
2678,1889,1834,1313,364,113
2696,46035,68878,72100,26135,9371
2719,1260,2071,1888,706,295
2722,1771,1589,847,196,85
2723,4317,4696,3308,1407,565
2743,28233,23233,12952,2641,815
2744,74378,96077,43087,7615,2073
2748,7045,9437,5925,1443,334
2761,6069,3924,2058,830,394
2767,114779,70488,34956,12130,12190
2784,165522,96630,64079,24985,26604
2794,22942,30398,21491,8487,3907
2839,221765,183501,103120,27771,12513
2865,240930,275748,166144,37639,18118
2872,4838,9412,8774,2335,462
2873,7155,11949,10187,2923,649
2880,97618,44098,25802,7080,3944
2899,4410,7370,5710,1528,427
2900,1719,2440,1837,385,98
2923,3836,2754,1003,176,74
2932,76485,103469,87459,27910,10502
2956,387098,437171,316335,93102,34677
2998,519358,398443,201433,42098,16022
3008,145249,101849,46748,8948,4300
3028,9370,6217,2901,890,444
3040,4784,2684,808,200,140
3049,17792,25500,21016,5300,1138
3066,3876,4456,2230,519,276
3077,9397,12453,7426,1655,444
3087,57813,68416,44309,11008,3302
3103,17405,18936,8831,1665,516
3109,87789,78514,29190,6260,2781
3110,14851,18590,9431,2516,1186
3140,11705,6640,2585,642,210
3273,56096,50765,18944,3881,1400
3282,137,223,175,33,13
3300,9795,11696,6506,1448,356
3304,10789,14218,11242,3603,1051
3378,6943,11009,8182,2221,616
3379,3037,5518,4323,1103,279
3381,4314,7279,5710,1342,378
3384,4183,6851,6024,1953,556
3388,33024,31124,16037,4687,2068
3394,2504,2748,1186,295,115
3399,6757,5176,2289,628,274
3400,1395,1524,598,118,31
3412,172885,110383,51911,11544,4042
3424,6419,4225,1503,268,95
3431,276629,238218,149439,43141,15963
3445,3324,4807,2323,466,191
3446,4021,5665,3269,745,204
3447,5829,8726,5732,1757,654
3462,85930,68196,39230,7471,2142
3463,59749,55943,33995,6899,1797
3464,29813,32083,26225,6802,1928
3465,18682,15588,9233,2507,940
3466,62175,51189,35648,9568,2797
3467,13035,21702,19644,4567,884
3473,393027,239422,128100,31820,14494
3476,9520,15654,12795,3406,934
3478,90936,75225,53356,14114,5132
3483,12346,16968,11398,4462,2010
3507,40461,38973,18550,2156,432
3562,21107,17706,9455,1859,667
3577,1551,1965,1459,287,83
3579,66071,25612,9798,2131,1587
3581,15748,7985,2315,287,154
3586,49636,21847,7477,1168,486
3590,145401,110064,38916,5039,1864
3636,1094218,820169,419209,111687,48482
3648,1821,4988,7206,4688,2252
3656,6909,10452,9230,3793,1535
3659,1288,2071,1450,496,160
3677,2956,5846,5787,1408,296
3679,20713,32729,20870,6194,2169
3682,71826,69640,53064,19728,8275
3685,106934,89178,63033,15389,5110
3686,14116,17443,9256,2142,704
3690,13460,15436,8128,2028,673
3692,9170,12036,6333,1340,361
3698,19067,27879,13236,2703,767
3707,872,2137,1552,259,34
3710,1158,3387,5281,2386,651
3711,42471,60509,39204,11965,4113
3742,972,908,750,239,118
3750,6314,11260,8345,1478,218
3758,20051,32799,24796,5921,1870
3759,6241,10091,6852,1362,320
3760,4011,8317,8007,1685,248
3764,10541,14080,8783,1724,577
3805,59272,64978,36582,14214,8255
3815,3410,4838,2739,556,236
3825,4840,7072,3834,764,297
3826,4773,7491,4570,935,342
3833,6500,7244,4242,911,434
3836,96646,86502,62056,19787,7613
3853,1542,2955,2518,809,360
3858,3641,5834,5548,1936,860
3867,47093,46936,29526,9431,3007
3869,198789,154444,61384,12492,7062
3872,7085,12244,8101,1611,578
3873,18098,15831,10385,3055,2470
3876,133159,154453,107661,37234,14367
3972,6436,7366,3980,1133,376
3973,11195,11744,5394,1485,586
3974,24907,23266,10126,3030,1335
3977,26434,23458,9322,1976,518
3979,2782,5189,4370,1316,410
3979,2782,5189,4369,1316,410
3980,93580,71578,35060,7675,3345
3985,94468,67531,28535,8913,3647
4004,16211,19252,17087,6539,2625
4008,15361,24042,21976,7000,2116
4009,64949,52731,23507,4757,1843
4031,6943,9924,7969,2974,1071
4034,770,885,645,157,80
4035,13634,15741,7745,1223,403
4042,796,810,523,215,620
4043,937,1634,1513,478,125
4069,402369,216339,78668,15807,7715
4135,12942,13698,9419,2706,1049
4136,42626,42702,28216,8506,3577
4137,278697,235758,122418,37822,25362
4138,103801,101602,46096,9594,4477
4141,1316,436,107,21,18
4143,15081,19552,15302,4042,1147
4191,2786,3098,1482,352,119
4214,579175,576708,318500,102642,53201
4268,5917,15329,22870,9607,2630
4271,29551,59878,38345,7033,1719
4325,28898,26233,19025,5879,1970
4339,9391,6813,2837,626,296
4364,3372,4512,2382,547,182
4373,24393,16981,4929,922,491
4381,872912,865536,493782,140580,60331
4392,4296,4379,2317,593,169
4395,383690,278012,155308,58794,34634
4406,322148,146269,54575,13175,5878
4407,400286,320182,151544,45677,18563
4473,162236,98354,42840,12321,5943
4516,31347,29046,13831,2915,665
4530,1724,3130,4729,2596,1111
