,book_title,average_rating
0,Сад Гетсиманський,4.82
1,The Addiction Manifesto,4.82
2,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 6,4.82
3,All the Young Dudes - Volume Two: Years 5 - 7,4.81
4,The Complete Calvin and Hobbes,4.81
5,Nutuk,4.81
6,All the Young Dudes,4.78
7,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 4,4.78
8,Mark of the Lion Trilogy,4.78
9,The Complete Aubrey/Maturin Novels,4.76
10,Words of Radiance,4.76
11,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 7,4.76
12,The Warden and the Wolf King,4.75
13,Light Bringer,4.75
14,The Complete Malazan Book of the Fallen,4.74
15,天官赐福 [Tiān Guān Cì Fú],4.74
16,Heaven Official’s Blessing [天官赐福],4.74
17,Harry Potter Series Box Set,4.74
18,ESV Study Bible,4.73
19,It's a Magical World,4.73
20,"Harry Potter Boxed Set, Books 1-5",4.72
21,Harry Potter Collection,4.72
22,Letter from the Birmingham Jail,4.72
23,"The Ignatius Bible: Revised Standard Version, Second Catholic Edition",4.72
24,All The Young Dudes - Volume Three: ‘Til the End,4.72
25,The Woman's Study Bible: New King James Version,4.72
26,"Ellana, l'Envol",4.71
27,The Indispensable Calvin and Hobbes,4.71
28,"Omniscient Reader’s Viewpoint, Vol. 1",4.71
29,Know My Name,4.71
30,სამოსელი პირველი,4.70
31,Ανθρωποφύλακες,4.70
32,White Knuckle,4.70
33,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,4.70
34,Magical Midlife Awakening,4.70
35,"பொன்னியின் செல்வன், முழுத்தொகுப்பு",4.70
36,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,4.70
37,Checkmate,4.70
38,The moonlight sonata,4.70
39,"The Complete Far Side, 1980–1994",4.69
40,The Harry Potter Collection 1-4,4.69
41,The Monster in the Hollows,4.69
42,Three Poems: Host and Guest / Aluda Ketelauri / The Snake-Eater,4.69
43,Kingdom of Ash,4.69
44,All The Young Dudes - Volume One: Years 1 - 4,4.69
45,Kingdom of Ash,4.69
46,مصرائيل,4.69
47,Holy Bible: New Living Translation,4.69
48,"The Absolute Sandman, Volume 3",4.69
49,"The Absolute Sandman, Volume 4",4.69
50,The Life and Times of Scrooge McDuck,4.68
51,"Diary of Skeleton Steve, the Noob Years, Season 1",4.68
52,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,4.68
53,The Six of Crows Duology Boxed Set,4.67
54,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,4.67
55,"The Absolute Sandman, Volume 2",4.67
56,The Fortress,4.67
57,Tvrđava,4.67
58,The Days Are Just Packed,4.67
59,The Divan,4.66
60,Clockwork Angel; Clockwork Prince; Clockwork Princess,4.66
61,El camino de los reyes,4.66
62,Hymns of The Church of Jesus Christ of Latter-day Saints,4.66
63,رياض الصالحين,4.66
64,The Way of Kings,4.66
65,Ellana,4.65
66,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,4.65
67,Αυτό το αστέρι είναι για όλους μας,4.65
68,A Court of Mist and Fury,4.65
69,Some Kind of Perfect,4.65
70,Assassin's Fate,4.65
71,Una corte de niebla y furia,4.65
72,A Court of Mist and Fury,4.65
73,A Court of Mist and Fury,4.65
74,Manacled,4.65
75,A Court of Mist and Fury,4.65
76,Heartstopper: Volume 1-4,4.65
77,Fallout: Equestria,4.64
78,العصبي,4.64
79,Shadow's Siege,4.64
80,"The Holy Bible: New American Standard Version, NASB",4.64
81,"The Absolute Sandman, Volume 1",4.64
82,New American Standard Bible,4.64
83,Life Application Study Bible: NIV,4.64
84,An Echo in the Darkness,4.63
85,"Shōgun, Volume 2",4.63
86,The Fever Series,4.63
87,Just Mercy,4.63
88,魔道祖师 [Mó Dào Zǔ Shī],4.63
89,The Mindf*ck Series,4.63
90,The Will of the Many,4.63
91,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 1,4.63
92,"Father Arseny, 1893-1973: Priest, Prisoner, Spiritual Father: Being the Narratives Compiled by the Servant of God Alexander Concerning His Spiritual Father",4.63
93,Stand a Little Taller: Counsel and Inspiration for Each Day of the Year,4.63
94,Pawn in Frankincense,4.62
95,"Jesus the Christ: A Study of the Messiah and His Mission According to Holy Scriptures, Both Ancient and Modern",4.62
96,Annihilation of Caste,4.62
97,A Song of Ice and Fire,4.62
98,The Calvin and Hobbes Tenth Anniversary Book,4.62
99,Strength to Love,4.62
100,Harry Potter and the Deathly Hallows,4.62
101,The Dark Tower Series: Books 1-7,4.62
102,The Nightingale,4.62
103,Empire of Storms,4.62
104,Empire of Storms,4.62
105,The Empty Grave,4.62
106,Oathbringer,4.62
107,Rhythm of War,4.62
108,The Happiest Man on Earth,4.62
109,Empire of Storms,4.62
110,Blackbird,4.62
111,Queen of Shadows,4.61
112,Worm,4.61
113,Heartstopper: Volume Four,4.61
114,Heartstopper: Volume Four,4.61
115,"Jesus Listens: Daily Devotional Prayers of Peace, Joy, and Hope",4.61
116,"Praying Like Monks, Living Like Fools: An Invitation to the Wonder and Mystery of Prayer",4.61
117,Queen of Shadows,4.61
118,Code Yellow in Gretna Green,4.61
119,The Sealed Nectar | Biography of Prophet Muhammad,4.61
120,الرحيق المختوم,4.61
121,Harry Potter and the Order of the Phoenix,4.61
122,Vampire Academy Collection,4.61
123,Percy Jackson and the Olympians Boxed Set,4.61
124,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.61
125,The Feynman Lectures on Physics,4.61
126,Calvin and Hobbes,4.61
127,Holy Bible: New International Version,4.61
128,"Nausicaä of the Valley of the Wind, Vol. 6",4.60
129,"Nausicaä of the Valley of the Wind, Vol. 7",4.60
130,A Song of Ice and Fire,4.60
131,The Dying of the Light,4.60
132,Una historia de ayer,4.60
133,Darkstalker,4.60
134,Vardaesia,4.60
135,A Story of Yesterday,4.60
136,Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,4.60
137,Pather Panchali: Song of the Road,4.60
138,Grande Sertão: Veredas,4.60
139,The Journey Home,4.60
140,The Disorderly Knights,4.59
141,Way to Be!: 9 Ways To Be Happy And Make Something Of Your Life,4.59
142,Mistborn Trilogy Boxed Set,4.59
143,The David Sedaris Box Set,4.59
144,"The Sandman, Vol. 9: The Kindly Ones",4.59
145,The Immortals,4.59
146,Crooked Kingdom,4.59
147,Moon Rising,4.59
148,Neverseen,4.59
149,Crooked Kingdom,4.59
150,Crooked Kingdom,4.59
151,The Cheat Code,4.59
152,The Cheat Code,4.59
153,The High Auction,4.59
154,The Cheat Code,4.59
155,The Cheat Code,4.59
156,The Cheat Code,4.59
157,The Cheat Code,4.59
158,Fourth Wing,4.59
159,Dempsey,4.59
160,Fourth Wing,4.59
161,The Cheat Code,4.59
162,Styxx,4.58
163,"The Selection Series 0.5, 1-2 Box Set",4.58
164,انتحار فاشل,4.58
165,The Choice: Embrace the Possible,4.58
166,A Team of One: An Unsanctioned Asset Thriller,4.58
167,Desperation in Death,4.58
168,Burner,4.58
169,Dislocated,4.58
170,The Collected Books,4.58
171,The Ringed Castle,4.58
172,"Women, Race & Class",4.58
173,Warriors Box Set,4.58
174,Harry Potter and the Half-Blood Prince,4.58
175,Harry Potter and the Prisoner of Azkaban,4.58
176,"Nausicaä of the Valley of the Wind, Vol. 5",4.58
177,Assata: An Autobiography,4.58
178,The Boy Who Was Raised as a Dog: And Other Stories from a Child Psychiatrist's Notebook,4.58
179,Harry Potter and the Goblet of Fire,4.57
180,The Complete Novels,4.57
181,The Complete Maus,4.57
182,Collected Fictions,4.57
