genre,genre_id
"Fantasy, Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure",1
"Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure, Middle Grade",2
"Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook",3
"Fantasy, Young Adult, Fiction, Magic, Childrens, Audiobook, Middle Grade",4
"Fantasy, Young Adult, Fiction, Magic, Adventure, Supernatural, Childrens",5
"Fantasy, Fiction, Young Adult, Magic, Childrens, Classics, Adventure",6
"Science Fiction, Fiction, Humor, Fantasy, Comedy, Audiobook, Science Fiction Fantasy",7
"Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy",8
"Nonfiction, Science, History, Audiobook, Humor, Physics, Historical",9
"Travel, Nonfiction, Humor, Australia, Memoir, Audiobook, History",10
"Nonfiction, Travel, Humor, Memoir, Essays, Biography, Audiobook",11
"Travel, Nonfiction, Humor, Memoir, Audiobook, American, Biography",12
"Travel, Nonfiction, Humor, Memoir, Biography, Audiobook, Travelogue",13
"Travel, Nonfiction, Humor, Memoir, British Literature, Biography, Audiobook",14
"Nonfiction, History, Language, Linguistics, Humor, Audiobook, Writing",15
"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy",16
"Fantasy, Classics, Fiction, Adventure, Science Fiction Fantasy, High Fantasy, Epic Fantasy",17
"Fantasy, Classics, Fiction, Adventure, High Fantasy, Science Fiction Fantasy, Epic Fantasy",18
"Fiction, Young Adult, Classics, Adventure, Middle Grade, Survival, Childrens",19
"Fantasy, Young Adult, Urban Fantasy, Fiction, Fairies, Middle Grade, Childrens",20
"Fiction, Young Adult, Fantasy, Childrens, Middle Grade, Juvenile, Coming Of Age",21
"Fiction, Historical Fiction, African American, Historical, Literary Fiction, Literature, Novels",22
"Nonfiction, Travel, Nature, History, Science, Adventure, Environment",23
"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Historical",24
"Science Fiction, Fiction, Fantasy, Science Fiction Fantasy, Classics, Space Opera, Audiobook",25
"Fiction, Historical Fiction, Africa, Classics, South Africa, Coming Of Age, Historical",26
"Science, Physics, Nonfiction, Astronomy, History, Biography, Space",27
"Fiction, Novels, Contemporary, Literary Fiction, College, Coming Of Age, Literature",28
"Fiction, Classics, Literature, Novels, Banned Books, American, Erotica",29
"Fiction, Classics, Literature, Novels, American, Erotica, The United States Of America",30
"Fiction, Classics, Literature, Novels, American, Erotica, 20th Century",31
"Fiction, Travel, Literature, Essays, Classics, Novels, The United States Of America",32
"Fiction, Classics, Literature, 19th Century, Historical Fiction, Romance, Novels",33
"Fiction, Classics, France, Romance, French Literature, Historical Fiction, Literature",34
"Classics, Poetry, Fiction, Romance, Novels, Philosophy, Literature",35
"Classics, Fiction, Adventure, Historical Fiction, Young Adult, Childrens, Pirates",36
"Classics, Fiction, 19th Century, Victorian, Historical Fiction, Literature, British Literature",37
"Fiction, Magical Realism, Literature, Fantasy, Novels, Historical Fiction, Spanish Literature",38
"Fiction, Classics, Historical Fiction, Horror, Thriller, Mystery, Crime",39
"Science Fiction, Fiction, Time Travel, Science Fiction Fantasy, Fantasy, Classics, Adventure",40
"Science Fiction, Fiction, Classics, Science Fiction Fantasy, Fantasy, Novels, Speculative Fiction",41
"Science Fiction, Fiction, Young Adult, Audiobook, Science Fiction Fantasy, Adventure, Space Opera",42
"Science Fiction, Fiction, Science Fiction Fantasy, Time Travel, Fantasy, Classics, Speculative Fiction",43
"Science Fiction, Fiction, Fantasy, Science Fiction Fantasy, Humor, Religion, Speculative Fiction",44
"Fiction, Fantasy, Science Fiction, Humor, Mystery, Comedy, Science Fiction Fantasy",45
"Science Fiction, Fiction, Humor, Fantasy, Comedy, Short Stories, Essays",46
"Science Fiction, Fiction, Fantasy, Humor, Mystery, Comedy, Science Fiction Fantasy",47
"Fantasy, Fiction, Classics, Childrens, Young Adult, Middle Grade, Adventure",48
"Fiction, Historical Fiction, Novels, Literature, American, Literary Fiction, Politics",49
"Fiction, Novels, American, Literature, Contemporary, Literary Fiction, 20th Century",50
"Fiction, Novels, American, Literature, Greece, Mystery, Literary Fiction",51
"Fiction, Historical Fiction, Literature, Novels, Steampunk, Science Fiction, American",52
"Fiction, Historical Fiction, Literature, Novels, American, Classics, Literary Fiction",53
"Fiction, Classics, Science Fiction, Literature, Historical Fiction, Novels, American",54
"Nonfiction, Essays, Memoir, Classics, History, Journalism, Biography",55
"Fiction, Literary Fiction, Novels, Contemporary, Politics, Literature, American",56
"Nonfiction, Essays, Memoir, Classics, History, Short Stories, Journalism",57
"Fiction, Politics, Historical Fiction, Novels, Literature, Literary Fiction, Contemporary",58
"Fiction, Classics, Literary Fiction, Contemporary, Feminism, Novels, Literature",59
"Fiction, Mystery, American, Novels, Literature, Contemporary, New York",60
"Fiction, Contemporary, New York, American, Novels, Literature, The United States Of America",61
"Fiction, American, Contemporary, Novels, The United States Of America, Literature, Classics",62
"Fiction, Dogs, Animals, Novels, American, Contemporary, Literature",63
"Fiction, Novels, American, Mystery, Literature, Contemporary, Literary Fiction",64
"Fiction, Novels, American, Literature, The United States Of America, Contemporary, Literary Fiction",65
"History, Nonfiction, Science, Anthropology, Sociology, Politics, Environment",66
"Nonfiction, Sociology, Politics, History, Psychology, Social Science, Cultural",67
"Biography, Science, Nonfiction, History, Autobiography, Physics, Memoir",68
"Nonfiction, Music, Memoir, Humor, Pop Culture, Essays, Travel",69
"Nonfiction, Essays, Humor, Pop Culture, Music, Cultural, Memoir",70
"Philosophy, Fiction, Classics, Spirituality, Travel, Psychology, Self Help",71
"Nonfiction, Politics, Economics, Business, Sociology, History, Society",72
"Classics, Fiction, Historical Fiction, Russia, Russian Literature, Literature, War",73
"Philosophy, Nonfiction, Classics, Theology, Christianity, Russia, Spirituality",74
"Fiction, Classics, Philosophy, Politics, Literature, Science Fiction, Novels",75
"Philosophy, Nonfiction, Politics, Psychology, Classics, Essays, Economics",76
"Fiction, Classics, Dystopia, Philosophy, Science Fiction, School, Literature",77
"Fiction, Classics, Philosophy, Historical Fiction, Literature, Politics, Russia",78
"Poetry, Nonfiction, American, Adult, Contemporary, Literature, Humor",79
"Health, Nonfiction, Self Help, Reference, Food, Nutrition, Medical",80
"Health, Nonfiction, Medical, Self Help, Reference, Nutrition, Alternative Medicine",81
"Fiction, Sports, Baseball, Classics, Literature, Novels, Literary Fiction",82
"Fiction, Adoption, Contemporary, Family, Literary Fiction, Novels, Adult Fiction",83
"Fiction, Historical Fiction, Alternate History, Literature, Science Fiction, American, Novels",84
