,book_title,author,num_ratings,average_rating,5_star_reviews,book_author
0,Harry Potter and the Sorcerer's Stone,J.K. Rowling,10116247,4.47,6544542,Harry Potter and the Sorcerer's Stone - J.K. Rowling
1,Harry Potter and the Sorcerer’s Stone,J.K. Rowling,10113168,4.47,6542689,Harry Potter and the Sorcerer’s Stone - J.K. Rowling
2,The Hunger Games,Suzanne Collins,8719855,4.34,4732413,The Hunger Games - Suzanne Collins
3,The Hunger Games,Suzanne Collins,8717540,4.34,4731120,The Hunger Games - Suzanne Collins
4,To Kill a Mockingbird,Harper Lee,6158672,4.26,3186131,To Kill a Mockingbird - Harper Lee
5,To Kill a Mockingbird,Harper Lee,6158652,4.26,3186120,To Kill a Mockingbird - Harper Lee
6,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4215031,4.58,2892322,Harry Potter and the Prisoner of Azkaban - J.K. Rowling
7,Harry Potter and the Deathly Hallows,J.K. Rowling,3727648,4.62,2710043,Harry Potter and the Deathly Hallows - J.K. Rowling
8,Harry Potter and the Goblet of Fire,J.K. Rowling,3718209,4.57,2500070,Harry Potter and the Goblet of Fire - J.K. Rowling
9,The Fault in Our Stars,John Green,5166085,4.14,2400698,The Fault in Our Stars - John Green
10,Twilight,Stephenie Meyer,6610633,3.65,2366987,Twilight - Stephenie Meyer
11,Pride and Prejudice,Jane Austen,4290511,4.29,2356066,Pride and Prejudice - Jane Austen
12,Harry Potter and the Chamber of Secrets,J.K. Rowling,3953211,4.43,2344312,Harry Potter and the Chamber of Secrets - J.K. Rowling
13,Harry Potter and the Half-Blood Prince,J.K. Rowling,3292516,4.58,2244154,Harry Potter and the Half-Blood Prince - J.K. Rowling
14,1984,George Orwell,4637150,4.19,2190740,1984 - George Orwell
15,1984,George Orwell,4636158,4.19,2190280,1984 - George Orwell
16,1984,George Orwell,4635133,4.19,2189813,1984 - George Orwell
17,1984,George Orwell,4634953,4.19,2189729,1984 - George Orwell
18,1984,George Orwell,4634680,4.19,2189601,1984 - George Orwell
19,Harry Potter and the Order of the Phoenix,J.K. Rowling,3401709,4.50,2178760,Harry Potter and the Order of the Phoenix - J.K. Rowling
20,The Hobbit,J.R.R. Tolkien,3999769,4.29,2146433,The Hobbit - J.R.R. Tolkien
21,Catching Fire,Suzanne Collins,3702597,4.33,1921940,Catching Fire - Suzanne Collins
22,The Great Gatsby,F. Scott Fitzgerald,5271406,3.93,1865545,The Great Gatsby - F. Scott Fitzgerald
23,Divergent,Veronica Roth,3994580,4.14,1849055,Divergent - Veronica Roth
24,The Diary of a Young Girl,Anne Frank,3751926,4.19,1822501,The Diary of a Young Girl - Anne Frank
25,Los siete maridos de Evelyn Hugo,Taylor Jenkins Reid,3062401,4.42,1776685,Los siete maridos de Evelyn Hugo - Taylor Jenkins Reid
26,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,3062004,4.42,1776457,The Seven Husbands of Evelyn Hugo - Taylor Jenkins Reid
27,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,3061807,4.42,1776358,The Seven Husbands of Evelyn Hugo - Taylor Jenkins Reid
28,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,3061639,4.42,1776275,The Seven Husbands of Evelyn Hugo - Taylor Jenkins Reid
29,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,3061197,4.42,1776043,The Seven Husbands of Evelyn Hugo - Taylor Jenkins Reid
30,Where the Crawdads Sing,Delia Owens,3022462,4.39,1737235,Where the Crawdads Sing - Delia Owens
31,Where the Crawdads Sing,Delia Owens,3021215,4.39,1736613,Where the Crawdads Sing - Delia Owens
32,The Kite Runner,Khaled Hosseini,3164612,4.34,1722668,The Kite Runner - Khaled Hosseini
33,The Fellowship of the Ring,J.R.R. Tolkien,2819586,4.39,1688264,The Fellowship of the Ring - J.R.R. Tolkien
34,The Fellowship of the Ring,J.R.R. Tolkien,2819004,4.39,1687890,The Fellowship of the Ring - J.R.R. Tolkien
35,The Help,Kathryn Stockett,2776731,4.47,1683902,The Help - Kathryn Stockett
36,It Ends with Us,Colleen Hoover,3389687,4.16,1660318,It Ends with Us - Colleen Hoover
37,It Ends with Us,Colleen Hoover,3387680,4.16,1659554,It Ends with Us - Colleen Hoover
38,The Lightning Thief,Rick Riordan,3036119,4.31,1592186,The Lightning Thief - Rick Riordan
39,The Lightning Thief,Rick Riordan,3035030,4.31,1591628,The Lightning Thief - Rick Riordan
40,A Game of Thrones,George R.R. Martin,2500752,4.44,1534568,A Game of Thrones - George R.R. Martin
41,Verity,Colleen Hoover,2729389,4.32,1507935,Verity - Colleen Hoover
42,Verity,Colleen Hoover,2728259,4.32,1507319,Verity - Colleen Hoover
43,Verity,Colleen Hoover,2727623,4.32,1506999,Verity - Colleen Hoover
44,The Book Thief,Markus Zusak,2573227,4.39,1494574,The Book Thief - Markus Zusak
45,The Girl with the Dragon Tattoo,Stieg Larsson,3194920,4.17,1488675,The Girl with the Dragon Tattoo - Stieg Larsson
46,Animal Farm,George Orwell,3910908,3.99,1466204,Animal Farm - George Orwell
47,Animal Farm,George Orwell,3909923,3.99,1465815,Animal Farm - George Orwell
48,Una corte de niebla y furia,Sarah J. Maas,1956199,4.65,1457836,Una corte de niebla y furia - Sarah J. Maas
49,A Court of Mist and Fury,Sarah J. Maas,1956057,4.65,1457741,A Court of Mist and Fury - Sarah J. Maas
50,A Court of Mist and Fury,Sarah J. Maas,1955415,4.65,1457307,A Court of Mist and Fury - Sarah J. Maas
51,A Court of Mist and Fury,Sarah J. Maas,1952734,4.65,1455441,A Court of Mist and Fury - Sarah J. Maas
52,A Court of Mist and Fury,Sarah J. Maas,1952508,4.65,1455287,A Court of Mist and Fury - Sarah J. Maas
53,"The Lion, the Witch and the Wardrobe",C.S. Lewis,2812981,4.24,1379235,"The Lion, the Witch and the Wardrobe - C.S. Lewis"
54,Mockingjay,Suzanne Collins,3245981,4.09,1360153,Mockingjay - Suzanne Collins
55,Gone Girl,Gillian Flynn,3107767,4.13,1343297,Gone Girl - Gillian Flynn
56,The Alchemist,Paulo Coelho,3079810,3.91,1213548,The Alchemist - Paulo Coelho
57,The Alchemist,Paulo Coelho,3078682,3.91,1213074,The Alchemist - Paulo Coelho
58,The Catcher in the Rye,J.D. Salinger,3540098,3.80,1207165,The Catcher in the Rye - J.D. Salinger
59,The Little Prince,Antoine de Saint-Exupéry,2124408,4.32,1206606,The Little Prince - Antoine de Saint-Exupéry
60,A Court of Thorns and Roses,Sarah J. Maas,2600641,4.19,1194196,A Court of Thorns and Roses - Sarah J. Maas
61,A Court of Thorns and Roses,Sarah J. Maas,2596924,4.19,1192745,A Court of Thorns and Roses - Sarah J. Maas
62,A Court of Thorns and Roses,Sarah J. Maas,2596566,4.19,1192612,A Court of Thorns and Roses - Sarah J. Maas
63,Angels & Demons,Dan       Brown,3204796,3.94,1170430,Angels & Demons - Dan       Brown
64,Fourth Wing,Rebecca Yarros,1606719,4.59,1139422,Fourth Wing - Rebecca Yarros
65,Fourth Wing,Rebecca Yarros,1605181,4.59,1138412,Fourth Wing - Rebecca Yarros
66,The Giver,Lois Lowry,2493765,4.12,1094218,The Giver - Lois Lowry
67,Little Women,Louisa May Alcott,2245804,4.15,1028326,Little Women - Louisa May Alcott
68,Fifty Shades of Grey,E.L. James,2620829,3.66,1024037,Fifty Shades of Grey - E.L. James
69,The Girl on the Train,Paula Hawkins,2958728,3.96,1003508,The Girl on the Train - Paula Hawkins
70,The Nightingale,Kristin Hannah,1384906,4.62,994595,The Nightingale - Kristin Hannah
71,A Court of Wings and Ruin,Sarah J. Maas,1614790,4.48,991585,A Court of Wings and Ruin - Sarah J. Maas
72,A Court of Wings and Ruin,Sarah J. Maas,1614512,4.48,991427,A Court of Wings and Ruin - Sarah J. Maas
73,Jane Eyre,Charlotte Brontë,2102274,4.15,980295,Jane Eyre - Charlotte Brontë
74,The Silent Patient,Alex Michaelides,2221187,4.18,961112,The Silent Patient - Alex Michaelides
75,The Silent Patient,Alex Michaelides,2221187,4.18,961112,The Silent Patient - Alex Michaelides
76,The Silent Patient,Alex Michaelides,2218966,4.18,960193,The Silent Patient - Alex Michaelides
77,The Hitchhiker’s Guide to the Galaxy,Douglas Adams,1849362,4.23,936656,The Hitchhiker’s Guide to the Galaxy - Douglas Adams
78,Educated,Tara Westover,1541463,4.47,933696,Educated - Tara Westover
79,Charlotte’s Web,E.B. White,1845740,4.20,901188,Charlotte’s Web - E.B. White
80,The Handmaid’s Tale,Margaret Atwood,2060064,4.14,890490,The Handmaid’s Tale - Margaret Atwood
81,City of Bones,Cassandra Clare,2006609,4.07,890334,City of Bones - Cassandra Clare
82,A Thousand Splendid Suns,Khaled Hosseini,1538320,4.43,887830,A Thousand Splendid Suns - Khaled Hosseini
83,The Perks of Being a Wallflower,Stephen Chbosky,1803503,4.23,883291,The Perks of Being a Wallflower - Stephen Chbosky
84,All the Light We Cannot See,Anthony Doerr,1679242,4.32,882981,All the Light We Cannot See - Anthony Doerr
85,Fahrenheit 451,Ray Bradbury,2433141,3.97,872912,Fahrenheit 451 - Ray Bradbury
86,Fahrenheit 451,Ray Bradbury,2433141,3.97,872912,Fahrenheit 451 - Ray Bradbury
87,Memoirs of a Geisha,Arthur Golden,2006832,4.15,867139,Memoirs of a Geisha - Arthur Golden
88,Memoirs of a Geisha,Arthur Golden,2006566,4.15,866975,Memoirs of a Geisha - Arthur Golden
89,Of Mice and Men,John Steinbeck,2559548,3.88,842347,Of Mice and Men - John Steinbeck
90,The Da Vinci Code,Dan       Brown,2360320,3.92,841466,The Da Vinci Code - Dan       Brown
91,The Notebook,Nicholas Sparks,1698833,4.15,839792,The Notebook - Nicholas Sparks
92,The Notebook,Nicholas Sparks,1698460,4.15,839570,The Notebook - Nicholas Sparks
