,Number of Pages,Average Rating
0,652,4.580000
1,912,4.206364
2,309,3.919697
3,435,4.160000
4,734,4.313333
5,2690,4.720000
6,3342,4.720000
7,216,4.031667
8,815,4.325000
9,544,4.057358
10,335,4.059348
11,304,3.920897
12,299,3.875417
13,254,4.054242
14,324,3.992222
15,270,3.929310
16,1728,4.610000
17,1216,4.366667
18,398,4.058966
19,208,3.939623
20,256,3.891681
21,220,3.920952
22,388,3.988974
23,438,4.080270
24,352,3.956414
25,436,4.009130
26,408,4.055405
27,471,4.081667
28,360,4.004444
29,738,3.900000
30,318,4.094000
31,348,4.034000
32,506,4.014545
33,292,4.004091
34,797,4.125000
35,117,4.030000
36,132,4.116316
37,796,4.115000
38,417,4.058000
39,263,4.024583
40,525,4.071667
41,272,3.918971
42,589,4.163333
43,440,4.089000
44,307,3.802979
45,298,3.991176
46,306,3.925417
47,248,3.941346
48,480,4.058421
49,241,3.886250
50,339,3.939250
51,1085,4.030000
52,773,4.120000
53,776,4.220000
54,224,3.915486
55,238,3.933226
56,234,3.993750
57,231,3.970000
58,308,3.951695
59,320,3.918513
60,181,3.949444
61,145,3.926667
62,275,3.860000
63,608,4.143636
64,88,4.123889
65,245,3.913077
66,540,4.043333
67,528,4.042373
68,1392,4.295000
69,1168,3.965000
70,173,4.062308
71,105,3.917778
72,464,3.965591
73,172,3.778571
74,572,3.956000
75,350,4.042083
76,277,3.945484
77,391,4.002414
78,228,3.910000
79,164,3.993636
80,115,3.983000
81,287,3.973636
82,1152,4.301111
83,927,3.920000
84,499,4.198000
85,257,3.982857
86,197,3.940526
87,182,3.980000
88,180,3.968788
89,107,4.021250
90,503,4.064737
91,434,4.076000
92,736,4.157143
93,489,4.058000
94,556,4.117500
95,258,3.916000
96,288,3.895889
97,384,4.001156
98,194,3.795556
99,472,4.044706
100,750,4.280000
101,386,4.034571
102,418,3.969655
103,383,4.031176
104,269,3.878235
105,422,4.047500
106,1246,4.470000
107,268,4.033333
108,487,4.180769
109,515,4.117500
110,368,3.951275
111,512,4.081324
112,317,3.975769
113,452,4.012609
114,526,4.012857
115,168,3.988462
116,716,4.085000
117,704,4.077576
118,1556,4.175000
119,541,3.972857
120,289,3.986552
121,137,4.120000
122,142,3.945455
123,336,3.950259
124,273,3.938286
125,285,3.926667
126,69,3.865000
127,259,3.887368
128,75,4.051429
129,120,3.964231
130,226,3.909259
131,240,3.924340
132,294,3.980278
133,55,4.075000
134,267,3.754444
135,547,4.107500
136,723,4.260000
137,498,4.138125
138,203,3.995000
139,562,4.078182
140,519,4.188333
141,176,3.932342
142,279,3.929286
143,593,3.990000
144,449,4.050952
145,829,3.830000
146,192,3.965766
147,379,4.021429
148,588,4.070000
149,465,4.108947
150,249,4.077333
151,303,3.950333
152,96,4.018750
153,329,4.018529
154,460,4.057000
155,529,3.976250
156,916,4.156667
157,751,4.120000
158,217,4.003500
159,1120,4.336667
160,232,4.009730
161,905,4.090000
162,611,3.907500
163,395,4.084667
164,688,4.086800
165,374,4.032250
166,118,3.825000
167,252,3.959149
168,326,3.956154
169,346,3.868519
170,358,4.035000
171,76,3.952500
172,127,4.053636
173,230,3.908889
174,301,3.935455
175,323,3.949250
176,690,4.066667
177,64,4.076250
178,416,3.978508
179,504,3.960556
180,261,3.836087
181,627,4.127500
182,763,3.930000
183,331,4.100667
184,387,3.965526
185,371,4.042326
186,729,4.126667
187,152,4.021429
188,128,4.035205
189,233,3.959048
190,77,4.115000
191,327,3.958421
192,242,3.853929
193,218,3.986765
194,372,4.033929
195,144,3.947639
196,119,4.054286
197,450,3.972778
198,314,4.017368
199,405,4.063333
200,321,3.977941
201,211,3.840000
202,244,3.927955
203,437,4.018000
204,554,4.052727
205,692,4.244286
206,1104,4.367500
207,196,3.795909
208,225,3.945000
209,351,4.019667
210,341,3.962750
211,276,3.910833
212,338,3.999400
213,342,4.022750
214,514,3.932500
215,310,3.990000
216,2088,4.450000
217,1059,4.470000
218,709,4.140000
219,389,4.062703
220,431,3.963810
221,195,3.861000
222,148,3.987826
223,445,3.978750
224,403,4.014231
225,222,3.945294
226,160,3.990556
227,347,4.015000
228,448,4.005821
229,247,4.015667
230,264,3.942857
231,653,4.108000
232,511,3.904444
233,1023,3.900000
234,190,4.026129
